time,open,high,low,close,volume
2026-06-26T12:00:00+00:00,15337.08,15442.08,15309.56,15404.58,22646
2026-06-29T00:00:00+00:00,15404.58,15462.55,15095.05,15369.55,164003
2026-06-29T12:00:00+00:00,15369.55,15460.55,15345.55,15451.55,16311
2026-06-30T00:00:00+00:00,15451.55,15594.47,15339.97,15570.47,117944
2026-06-30T12:00:00+00:00,15570.47,15616.45,15560.95,15594.46,8863
2026-07-01T00:00:00+00:00,15594.46,15608.46,15234.44,15298.46,84122
2026-07-01T12:00:00+00:00,15298.46,15383.94,15270.44,15355.95,9222
2026-07-02T00:00:00+00:00,15355.95,15356.42,14730.41,14833.42,149529
2026-07-02T12:00:00+00:00,14833.42,14890.41,14711.41,14801.93,24243
2026-07-03T00:00:00+00:00,14801.93,15126.84,14730.83,14972.33,121716
2026-07-03T12:00:00+00:00,14972.33,14984.34,14956.82,14963.83,3111
2026-07-06T00:00:00+00:00,14963.83,15091.35,14864.85,14979.86,125479
2026-07-06T12:00:00+00:00,14979.86,15026.36,14969.86,15021.34,7685
2026-07-07T00:00:00+00:00,15021.34,15072.98,14825.96,14967.47,113181
2026-07-07T12:00:00+00:00,14967.47,14994.98,14900.96,14942.47,15680
2026-07-08T00:00:00+00:00,14942.47,15185.77,14830.78,14909.77,123501
2026-07-08T12:00:00+00:00,14909.77,14941.78,14855.78,14917.77,20965
2026-07-09T00:00:00+00:00,14917.77,15390.98,14917.77,15369.46,125415
2026-07-09T12:00:00+00:00,15369.46,15399.48,15356.46,15388.48,9626
2026-07-10T00:00:00+00:00,15388.48,15442.96,14970.47,15027.97,123987
2026-07-10T12:00:00+00:00,15027.97,15047.97,14996.97,15045.46,12145
2026-07-13T00:00:00+00:00,15045.46,15097.24,14763.73,14848.23,184345
2026-07-13T12:00:00+00:00,14848.23,14862.74,14808.23,14814.23,16521
2026-07-14T00:00:00+00:00,14814.23,15199,14702.98,15164.98,183593
2026-07-14T12:00:00+00:00,15164.98,15197,15154.99,15173.5,17259
2026-07-15T00:00:00+00:00,15173.5,15370.56,15066.04,15263.06,122013
2026-07-15T12:00:00+00:00,15263.06,15296.04,15224.55,15270.05,14029
